Tag;Code_test;Separation;Position;Time;Date_Time;Date;Time2;factor_aleatorio; Second_day;satellites ; Battery_Level;Distance; Accuracy ; Clock_Offset
20844;70;NO;Paralelo;11:00:16;26/03/2020 11:00;26/03/2020;11:00;26/03/20_11:00;39616820;8;4.2;6.647135;4.83E-06;9999999
20844;70;NO;Paralelo;11:30:17;26/03/2020 11:30;26/03/2020;11:30;26/03/20_11:30;41417000;7;4.2;6.032167;4.13E-06;1910
20844;70;NO;Paralelo;12:00:16;26/03/2020 12:00;26/03/2020;12:00;26/03/20_12:00;43216800;7;4.2;4.686649;2.44E-06;1905
20844;70;NO;Paralelo;12:30:19;26/03/2020 12:30;26/03/2020;12:30;26/03/20_12:30;45019975;8;4.2;9.648226;2.69E-06;1885
20844;70;NO;Paralelo;13:00:16;26/03/2020 13:00;26/03/2020;13:00;26/03/20_13:00;46816615;6;4.18;33.10466;3.13E-06;1785
20844;70;NO;Paralelo;13:30:19;26/03/2020 13:30;26/03/2020;13:30;26/03/20_13:30;48619975;6;4.18;22.105823;2.41E-06;1745
20844;70;NO;Paralelo;14:00:16;26/03/2020 14:00;26/03/2020;14:00;26/03/20_14:00;50416765;8;4.18;12.939054;7.08E-06;1850
20844;70;NO;Paralelo;14:30:16;26/03/2020 14:30;26/03/2020;14:30;26/03/20_14:30;52216900;8;4.18;8.834486;5.30E-06;1885
20844;70;NO;Paralelo;15:00:16;26/03/2020 15:00;26/03/2020;15:00;26/03/20_15:00;54016715;8;4.18;2.279487;4.58E-06;1825
20844;70;NO;Paralelo;15:30:16;26/03/2020 15:30;26/03/2020;15:30;26/03/20_15:30;55816895;6;4.18;3.589744;5.69E-07;1775
20844;70;NO;Paralelo;16:00:16;26/03/2020 16:00;26/03/2020;16:00;26/03/20_16:00;57616685;6;4.18;32.516032;7.46E-07;1765
20844;70;NO;Paralelo;16:30:22;26/03/2020 16:30;26/03/2020;16:30;26/03/20_16:30;59422855;6;4.18;12.180308;7.69E-07;1765
20844;70;NO;Paralelo;17:00:18;26/03/2020 17:00;26/03/2020;17:00;26/03/20_17:00;61218665;7;4.16;12.682769;3.02E-06;1760
20844;70;NO;Paralelo;17:30:16;26/03/2020 17:30;26/03/2020;17:30;26/03/20_17:30;63016870;6;4.16;14.577301;9.01E-07;1765
20844;70;NO;Paralelo;18:00:16;26/03/2020 18:00;26/03/2020;18:00;26/03/20_18:00;64816645;5;4.16;8.488336;1.03E-06;1760
20844;70;NO;Paralelo;18:30:20;26/03/2020 18:30;26/03/2020;18:30;26/03/20_18:30;66620890;7;4.14;12.822266;3.16E-06;1765
20844;70;NO;Paralelo;19:00:16;26/03/2020 19:00;26/03/2020;19:00;26/03/20_19:00;68416645;6;4.14;17.749337;5.06E-06;1770
20844;70;NO;Paralelo;19:30:16;26/03/2020 19:30;26/03/2020;19:30;26/03/20_19:30;70216890;6;4.14;14.657101;8.40E-06;1770
20844;70;NO;Paralelo;20:00:16;26/03/2020 20:00;26/03/2020;20:00;26/03/20_20:00;72016700;8;4.14;2.609685;5.79E-06;1795
20844;70;NO;Paralelo;21:00:22;26/03/2020 21:00;26/03/2020;21:00;26/03/20_21:00;75622735;5;4.12;21.482295;2.04E-07;1730
20844;70;NO;Paralelo;21:30:18;26/03/2020 21:30;26/03/2020;21:30;26/03/20_21:30;77418930;6;4.12;28.409596;2.69E-06;1800
20844;70;NO;Paralelo;22:00:19;26/03/2020 22:00;26/03/2020;22:00;26/03/20_22:00;79219740;6;4.12;17.797378;1.62E-06;1870
20844;64;NO;Levantado;18:00:21;29/03/2020 18:00;29/03/2020;18:00;29/03/20_18:00;64821610;7;4.1;6.647135;4.19E-06;9999999
20844;64;NO;Levantado;18:30:21;29/03/2020 18:30;29/03/2020;18:30;29/03/20_18:30;66621810;7;4.1;6.032167;2.52E-06;1710
20844;64;NO;Levantado;19:00:23;29/03/2020 19:00;29/03/2020;19:00;29/03/20_19:00;68423590;9;4.1;4.686649;3.07E-06;1760
20844;64;NO;Levantado;19:30:21;29/03/2020 19:30;29/03/2020;19:30;29/03/20_19:30;70221780;8;4.1;9.648226;3.08E-06;1710
20844;64;NO;Levantado;20:00:21;29/03/2020 20:00;29/03/2020;20:00;29/03/20_20:00;72021630;7;4.1;33.10466;1.71E-06;1680
20844;64;NO;Levantado;20:30:21;29/03/2020 20:30;29/03/2020;20:30;29/03/20_20:30;73821770;7;4.1;22.105823;4.50E-06;1685
20844;64;NO;Levantado;21:00:21;29/03/2020 21:00;29/03/2020;21:00;29/03/20_21:00;75621585;8;4.1;12.939054;5.24E-06;1680
20844;64;NO;Levantado;21:30:21;29/03/2020 21:30;29/03/2020;21:30;29/03/20_21:30;77421780;6;4.1;8.834486;1.80E-06;1680
20844;64;NO;Levantado;22:00:21;29/03/2020 22:00;29/03/2020;22:00;29/03/20_22:00;79221580;8;4.1;2.279487;6.23E-06;1680
20844;64;NO;Levantado;22:30:21;29/03/2020 22:30;29/03/2020;22:30;29/03/20_22:30;81021780;7;4.08;3.589744;3.60E-06;1680
